id,player,fpl_name,fpl_id,element_type,now_cost
603811,Willian,Willian Borges da Silva,591,3,53
604643,Matheus Cunha,Matheus Santos Carneiro Da Cunha,590,4,55
603792,Ashley Young,Ashley Young,588,2,44
603828,Anis Ben Slimane,Anis Slimane,587,3,47
603779,Tahith Chong,Tahith Chong,586,3,47
603700,Jurriën Timber,Jurriën Timber,585,2,46
603935,Pau Torres,Pau Torres,584,2,46
605258,Manor Solomon,Manor Solomon,583,3,51
603778,Pelly Ruddock Mpanzu,Pelly Ruddock Mpanzu,582,3,47
624910,Paul Dummett,Paul Dummett,581,2,39
643532,Loris Karius,Loris Karius,580,1,39
609659,Reiss Nelson,Reiss Nelson,578,3,48
605907,Angelo Ogbonna,Angelo Ogbonna,577,2,43
603818,Jack Robinson,Jack Robinson,576,2,43
603774,Tom Lockyer,Tom Lockyer,575,2,42
609362,Boubacar Traore,Boubacar Traoré,574,3,43
605068,Toti,Toti António Gomes,573,2,44
604635,Nélson Semedo,Nélson Cabral Semedo,572,2,45
604644,Pablo Sarabia,Pablo Sarabia,570,3,47
604634,José Sá,José Malheiro de Sá,569,1,50
604639,Pedro Neto,Pedro Lomba Neto,567,3,57
604642,Matheus Nunes,Matheus Luiz Nunes,566,3,47
604641,Mario Lemina,Mario Lemina,565,3,49
604637,Max Kilman,Max Kilman,563,2,45
604640,João Gomes,João Victor Gomes da Silva,559,3,49
603810,Raúl Jiménez,Raúl Jiménez,558,4,50
604648,Hee-Chan Hwang,Hwang Hee-chan,557,3,55
604636,Craig Dawson,Craig Dawson,551,2,45
604646,Hugo Bueno,Hugo Bueno López,548,2,44
626653,Daniel Bentley,Daniel Bentley,546,1,39
604638,Rayan Ait Nouri,Rayan Aït-Nouri,545,2,45
603744,Kurt Zouma,Kurt Zouma,544,2,45
603748,Tomas Soucek,Tomáš Souček,542,3,49
603703,Declan Rice,Declan Rice,540,3,55
603747,Lucas Paquetá,Lucas Tolentino Coelho de Lima,539,3,60
624864,Divin Mubama,Divin Mubama,538,4,41
632529,Ben Johnson,Ben Johnson,536,2,44
603754,Danny Ings,Danny Ings,535,4,56
628213,Lukasz Fabianski,Lukasz Fabianski,533,1,42
604200,Emerson,Emerson Palmieri dos Santos,532,2,44
620329,Aaron Cresswell,Aaron Cresswell,530,2,42
603743,Vladimir Coufal,Vladimír Coufal,528,2,46
603755,Maxwel Cornet,Maxwel Cornet,527,3,52
603749,Jarrod Bowen,Jarrod Bowen,526,3,79
603742,Alphonse Areola,Alphonse Areola,524,1,43
603752,Michail Antonio,Michail Antonio,523,4,57
603745,Naif Aguerd,Nayef Aguerd,522,2,44
604199,Guglielmo Vicario,Guglielmo Vicario,520,1,53
604203,Iyenoma Destiny Udogie,Destiny Udogie,519,2,49
604208,Son Heung-Min,Son Heung-min,516,3,99
604205,Oliver Skipp,Oliver Skipp,515,3,45
604212,Pape Sarr,Pape Matar Sarr,513,3,44
604201,Cristian Romero,Cristian Romero,511,2,50
604209,Richarlison,Richarlison de Andrade,509,3,70
610434,Sergio Reguilón,Sergio Reguilón,508,2,44
605245,Pedro Porro,Pedro Porro,506,2,57
604207,James Maddison,James Maddison,504,3,80
606668,Giovani Lo Celso,Giovani Lo Celso,503,3,48
604206,Dejan Kulusevski,Dejan Kulusevski,501,3,68
605257,Pierre-Emile Højbjerg,Pierre-Emile Højbjerg,499,3,52
605259,Ben Davies,Ben Davies,495,2,43
619492,Bryan Gil Salvatierra,Bryan Gil Salvatierra,494,3,49
604204,Yves Bissouma,Yves Bissouma,493,3,50
619493,Rodrigo Bentancur,Rodrigo Bentancur,492,3,54
603824,William Osula,William Osula,490,4,43
603822,Ben Osborn,Ben Osborn,489,3,48
603823,Oliver Norwood,Oliver Norwood,488,3,48
633516,Rhys Norrington-Davies,Rhys Norrington-Davies,487,2,39
607482,Oliver McBurnie,Oliver McBurnie,485,4,54
603820,Max Lowe,Max Lowe,484,2,43
603815,Wes Foderingham,Wes Foderingham,482,1,45
603817,John Egan,John Egan,480,2,43
614748,Rhian Brewster,Rhian Brewster,477,4,49
607480,Jayden Bogle,Jayden Bogle,476,2,45
603611,Sander Berge,Sander Berge,475,3,46
603821,Chris Basham,Chris Basham,474,2,39
603819,George Baldock,George Baldock,473,2,38
603816,Anel Ahmedhodzic,Anel Ahmedhodžić,471,2,43
603717,Ryan Yates,Ryan Yates,470,3,48
603721,Chris Wood,Chris Wood,468,4,48
603725,Neco Williams,Neco Williams,467,2,43
615256,Harry Toffolo,Harry Toffolo,465,2,44
604784,Moussa Niakhate,Moussa Niakhaté,457,2,45
603723,Cheikhou Kouyaté,Cheikhou Kouyaté,451,3,48
603719,Brennan Johnson,Brennan Johnson,450,3,58
603720,Morgan Gibbs-White,Morgan Gibbs-White,447,3,57
626823,Felipe,Felipe Augusto de Almeida Monteiro,445,2,44
603718,Danilo,Danilo dos Santos de Oliveira,442,3,53
603713,Willy Boly,Willy Boly,439,2,45
603722,Taiwo Awoniyi,Taiwo Awoniyi,437,4,63
603916,Callum Wilson,Callum Wilson,433,4,78
620136,Joe Willock,Joe Willock,432,3,53
603906,Kieran Trippier,Kieran Trippier,430,2,68
603912,Sandro Tonali,Sandro Tonali,429,3,52
607693,Matt Targett,Matt Targett,428,2,42
603908,Fabian Schär,Fabian Schär,427,2,54
621779,Matt Ritchie,Matt Ritchie,425,3,43
603905,Nick Pope,Nick Pope,424,1,53
603917,Jacob Murphy,Jacob Murphy,423,3,48
603919,Sean Longstaff,Sean Longstaff,421,3,48
608892,Jamaal Lascelles,Jamaal Lascelles,419,2,39
623494,Emil Krafth,Emil Krafth,417,2,44
603910,Joelinton,Joelinton Cássio Apolinário de Lira,416,3,58
603914,Alexander Isak,Alexander Isak,415,4,75
603915,Anthony Gordon,Anthony Gordon,412,3,61
626942,Martin Dubravka,Martin Dubravka,409,1,42
603909,Dan Burn,Dan Burn,407,2,44
603911,Bruno Guimarães,Bruno Guimarães Rodriguez Moura,406,3,58
603907,Sven Botman,Sven Botman,405,2,45
603920,Elliot Anderson,Elliot Anderson,403,3,42
603913,Miguel Almirón,Miguel Almirón Rejala,402,3,60
604619,Aaron Wan-Bissaka,Aaron Wan-Bissaka,401,2,44
604622,Luke Shaw,Luke Shaw,398,2,52
604628,Marcus Rashford,Marcus Rashford,396,3,84
604621,Raphael Varane,Raphaël Varane,395,2,49
615870,Teden Mengi,Teden Mengi,393,2,39
604633,Scott McTominay,Scott McTominay,392,3,46
604620,Lisandro Martínez,Lisandro Martínez,391,2,47
605272,Anthony Martial,Anthony Martial,390,4,64
625811,Kobbie Mainoo,Kobbie Mainoo,388,3,44
609673,Harry Maguire,Harry Maguire,387,2,42
604630,Victor Lindelöf,Victor Lindelöf,386,2,45
630309,Dean Henderson,Dean Henderson,385,1,44
604627,Alejandro Garnacho,Alejandro Garnacho,382,3,50
604629,Christian Eriksen,Christian Eriksen,379,3,58
603724,Anthony Elanga,Anthony Elanga,378,3,51
605273,Diogo Dalot,Diogo Dalot Teixeira,377,2,52
604623,Casemiro,Carlos Henrique Casimiro,376,3,53
604625,Bruno Fernandes,Bruno Borges Fernandes,373,3,82
604624,Antony,Antony Matheus dos Santos,372,3,68
633667,Amad Diallo Traore,Amad Diallo,371,3,44
603620,Kyle Walker,Kyle Walker,369,2,54
617316,John Stones,John Stones,368,2,53
608719,Sergio Gómez,Sergio Gómez,366,2,38
603625,Rodri,Rodrigo Hernandez,365,3,56
608720,Kalvin Phillips,Kalvin Phillips,364,3,47
603634,Cole Palmer,Cole Palmer,362,3,57
618123,Stefan Ortega Moreno,Stefan Ortega Moreno,361,1,37
603633,James McAtee,James McAtee,360,3,44
603623,Rico Lewis,Rico Lewis,358,2,42
603630,Mateo Kovacic,Mateo Kovačić,356,3,47
603629,Erling Haaland,Erling Haaland,355,4,144
605563,Jack Grealish,Jack Grealish,354,3,72
603628,Phil Foden,Phil Foden,353,3,82
603619,Ederson,Ederson Santana de Moraes,352,1,55
610068,Tommy Doyle,Tommy Doyle,351,3,44
605556,Rúben Dias,Rúben Gato Alves Dias,350,2,55
603624,Kevin De Bruyne,Kevin De Bruyne,349,3,105
608717,Oscar Bobb,Oscar Bobb,345,3,44
603626,Bernardo Silva,Bernardo Veiga de Carvalho e Silva,344,3,62
603627,Julián Álvarez,Julián Álvarez,343,4,65
603621,Nathan Aké,Nathan Aké,342,2,51
603622,Manuel Akanji,Manuel Akanji,341,2,49
603785,Cauley Woodrow,Cauley Woodrow,340,4,43
620458,Gabriel Osho,Gabriel Osho,330,2,44
603783,Chiedozie Ogbene,Chiedozie Ogbene,328,4,49
603781,Carlton Morris,Carlton Morris,326,4,52
603787,Alfie Doughty,Alfie Doughty,321,2,47
623257,Jordan Clark,Jordan Clark,320,3,48
606599,Reece Burke,Reece Burke,318,2,40
603786,Luke Berry,Luke Berry,317,3,46
603773,Amari&#039;i Bell,Amari'i Bell,316,2,39
603775,Mads Andersen,Mads Juel Andersen,315,2,39
603782,Elijah Adebayo,Elijah Adebayo,314,4,49
604423,Virgil van Dijk,Virgil van Dijk,313,2,65
605128,Konstantinos Tsimikas,Konstantinos Tsimikas,311,2,45
639368,Thiago Alcántara,Thiago Alcántara do Nascimento,310,3,47
604426,Dominik Szoboszlai,Dominik Szoboszlai,309,3,71
604428,Mohamed Salah,Mohamed Salah,308,3,130
604424,Andrew Robertson,Andrew Robertson,307,2,64
607699,Joel Matip,Joel Matip,305,2,48
604425,Alexis Mac Allister,Alexis Mac Allister,304,3,58
604430,Luis Díaz,Luis Díaz,303,3,75
604422,Ibrahima Konaté,Ibrahima Konaté,302,2,49
627327,Caoimhin Kelleher,Caoimhin Kelleher,301,1,38
604432,Curtis Jones,Curtis Jones,300,3,49
605132,Joseph Gomez,Joe Gomez,298,2,46
604427,Cody Gakpo,Cody Gakpo,297,4,72
604433,Harvey Elliott,Harvey Elliott,295,3,48
604429,Diogo Jota,Diogo Teixeira da Silva,294,3,80
604431,Darwin Núñez,Darwin Núñez Ribeiro,293,4,75
604420,Alisson,Alisson Ramses Becker,291,1,58
604421,Trent Alexander-Arnold,Trent Alexander-Arnold,290,2,85
