id,goals,own_goals,shots,xG,time,player_id,understat_team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder,fixture_id,team_id,team_name,h_xg,a_xg,team_xG,xGI,gameweek,penalty,npxG,npxGI
603738,0,0,2,0.041573341935873,14,11363,73,Sub,Antoine Semenyo,h,0,0,0,603733,0,0,0.0,0.0734722465276718,0.031898908317089,17,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.041573341935873,1,0,0.041573341935873,0.041573341935873
603741,0,0,0,0.0,29,7384,73,Sub,Chris Mepham,h,1,0,0,603728,1,0,0.015813298523426,0.0477122068405151,0.031898908317089,17,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.015813298523426,1,0,0.0,0.015813298523426
603739,0,0,0,0.0,14,10747,73,Sub,James Hill,h,0,0,0,603727,0,0,0.0,0.0,0.0,17,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.0,1,0,0.0,0.0
603737,0,0,0,0.0,29,6963,73,Sub,Justin Kluivert,h,0,0,0,603735,0,0,0.0,0.0,0.0,17,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.0,1,0,0.0,0.0
603740,0,0,1,0.0426681376993656,22,10743,73,Sub,Kieffer Moore,h,0,0,0,603734,0,0,0.0,0.0426681376993656,0.0,17,22277,2,Bournemouth,1.51025,1.4834,1.51025,0.0426681376993656,1,0,0.0426681376993656,0.0426681376993656
604183,0,0,0,0.0,90,7047,244,GK,Mark Flekken,h,0,0,0,0,0,0,0.0,0.0,0.0,1,22282,3,Brentford,1.90756,1.45316,1.90756,0.0,1,0,0.0,0.0
604184,0,0,1,0.011782357469201,83,8942,244,DR,Aaron Hickey,h,1,0,604194,0,1,0,0.0474643521010875,0.011782357469201,0.0,2,22282,3,Brentford,1.90756,1.45316,1.90756,0.0592467095702886,1,0,0.011782357469201,0.0592467095702885
604186,0,0,0,0.0,90,9678,244,DC,Ethan Pinnock,h,0,0,0,0,0,0,0.0,0.0268438290804624,0.0268438290804624,3,22282,3,Brentford,1.90756,1.45316,1.90756,0.0,1,0,0.0,0.0
604187,0,0,0,0.0,90,9677,244,DC,Kristoffer Ajer,h,0,0,604195,0,0,0,0.0,0.1383375823497772,0.1383375823497772,3,22282,3,Brentford,1.90756,1.45316,1.90756,0.0,1,0,0.0,0.0
604185,0,0,0,0.0,90,9733,244,DC,Nathan Collins,h,0,0,0,0,0,0,0.0,0.0,0.0,3,22282,3,Brentford,1.90756,1.45316,1.90756,0.0,1,0,0.0,0.0
604188,0,0,0,0.0,90,9679,244,DL,Rico Henry,h,0,0,0,0,2,1,0.579993724822998,0.8623220324516296,0.2823283076286316,4,22282,3,Brentford,1.90756,1.45316,1.90756,0.579993724822998,1,0,0.0,0.579993724822998
604189,0,0,0,0.0,60,7166,244,MC,Mathias Jensen,h,0,0,604196,0,0,0,0.0,0.0,0.0,9,22282,3,Brentford,1.90756,1.45316,1.90756,0.0,1,0,0.0,0.0
604190,0,0,0,0.0,83,7083,244,MC,Christian Nørgaard,h,0,0,604198,0,0,0,0.0,0.564354419708252,0.564354419708252,9,22282,3,Brentford,1.90756,1.45316,1.90756,0.0,1,0,0.0,0.0
604191,0,0,1,0.0268438290804624,90,9680,244,MC,Vitaly Janelt,h,0,0,0,0,1,0,0.0626327320933342,0.3718048632144928,0.2823283076286316,9,22282,3,Brentford,1.90756,1.45316,1.90756,0.0894765611737966,1,0,0.0268438290804624,0.0894765611737966
604192,1,0,3,1.2986794710159302,90,6552,244,FW,Bryan Mbeumo,h,0,0,0,0,0,0,0.0,0.5375105738639832,0.0,15,22282,3,Brentford,1.90756,1.45316,1.90756,1.2986794710159302,1,1,0.5375106334686279,0.5375106334686279
604193,1,0,3,0.2005074471235275,83,5786,244,FW,Yoane Wissa,h,0,0,604197,0,2,0,0.0747710466384887,0.2278141528367996,0.0,15,22282,3,Brentford,1.90756,1.45316,1.90756,0.2752784937620163,1,0,0.2005074471235275,0.2752784937620162
604195,0,0,0,0.0,1,6030,244,Sub,Zanka,h,0,0,0,604187,1,0,0.2823283076286316,0.2823283076286316,0.0,17,22282,3,Brentford,1.90756,1.45316,1.90756,0.2823283076286316,1,0,0.0,0.2823283076286316
604198,0,0,0,0.0,7,9914,244,Sub,Shandon Baptiste,h,0,0,0,604190,0,0,0.0,0.0,0.0,17,22282,3,Brentford,1.90756,1.45316,1.90756,0.0,1,0,0.0,0.0
604196,0,0,1,0.0718506500124931,30,8859,244,Sub,Mikkel Damsgaard,h,0,0,0,604189,0,0,0.0,0.0718506500124931,0.0,17,22282,3,Brentford,1.90756,1.45316,1.90756,0.0718506500124931,1,0,0.0718506500124931,0.0718506500124931
604194,0,0,1,0.0175010617822408,7,9685,244,Sub,Mads Roerslev,h,0,0,0,604184,0,0,0.0,0.299829363822937,0.2823283076286316,17,22282,3,Brentford,1.90756,1.45316,1.90756,0.0175010617822408,1,0,0.0175010617822408,0.0175010617822408
604197,0,0,1,0.2823283076286316,7,9156,244,Sub,Kevin Schade,h,0,0,0,604193,0,0,0.0,0.2823283076286316,0.0,17,22282,3,Brentford,1.90756,1.45316,1.90756,0.2823283076286316,1,0,0.2823283076286316,0.2823283076286316
603756,0,0,0,0.0,90,7235,220,GK,Jason Steele,h,0,0,0,0,0,0,0.0,1.561518907546997,1.561518907546997,1,22278,4,Brighton,4.36748,1.88594,4.36748,0.0,1,0,0.0,0.0
603757,0,0,0,0.0,80,489,220,DR,James Milner,h,0,0,603768,0,0,0,0.0,0.6910821795463562,0.6910821795463562,2,22278,4,Brighton,4.36748,1.88594,4.36748,0.0,1,0,0.0,0.0
603759,0,0,2,0.1102182045578956,90,6048,220,DC,Lewis Dunk,h,0,0,0,0,0,0,0.0,1.343388319015503,1.343388319015503,3,22278,4,Brighton,4.36748,1.88594,4.36748,0.1102182045578956,1,0,0.1102182045578956,0.1102182045578956
603758,0,0,1,0.0257391259074211,90,10807,220,DC,Jan Paul van Hecke,h,0,0,0,0,0,0,0.0,1.3894027471542358,1.3894027471542358,3,22278,4,Brighton,4.36748,1.88594,4.36748,0.0257391259074211,1,0,0.0257391259074211,0.0257391259074211
603760,0,0,3,0.1335838288068771,90,5136,220,DL,Estupiñán,h,1,0,0,0,6,1,1.3268462419509888,1.6935917139053345,1.4050401449203491,4,22278,4,Brighton,4.36748,1.88594,4.36748,1.460430070757866,1,0,0.1335838288068771,1.460430070757866
603762,0,0,3,0.3953014612197876,90,239,220,DMC,Pascal Groß,h,0,0,0,0,6,0,0.75409996509552,1.9309120178222656,1.36072039604187,7,22278,4,Brighton,4.36748,1.88594,4.36748,1.1494014263153076,1,0,0.3953014612197876,1.1494014263153076
603761,0,0,2,0.0430637896060943,75,205,220,DMC,Mahmoud Dahoud,h,0,0,603770,0,2,0,0.102872610092163,0.852260947227478,0.7863457202911377,7,22278,4,Brighton,4.36748,1.88594,4.36748,0.1459363996982574,1,0,0.0430637896060943,0.1459363996982573
603763,1,0,3,0.5958764553070068,75,6049,220,AMR,Solly March,h,0,0,603771,0,2,0,0.0589088648557662,0.6235096454620361,0.0,11,22278,4,Brighton,4.36748,1.88594,4.36748,0.6547853201627731,1,0,0.5958764553070068,0.654785320162773
603764,1,0,4,1.4254058599472046,89,8272,220,AMC,João Pedro,h,0,0,603769,0,1,0,0.0121452705934643,0.9390615820884703,0.2748245596885681,12,22278,4,Brighton,4.36748,1.88594,4.36748,1.437551130540669,1,1,0.6642370223999023,0.6763822929933666
603765,0,0,1,0.0199888162314891,90,10806,220,AML,Kaoru Mitoma,h,1,0,0,0,5,1,0.7422525882720947,2.232360601425171,2.088321685791016,13,22278,4,Brighton,4.36748,1.88594,4.36748,0.7622414045035839,1,0,0.0199888162314891,0.7622414045035838
603766,0,0,4,0.2924142479896545,79,501,220,FW,Danny Welbeck,h,0,0,603767,0,0,0,0.0,0.4188868999481201,0.1264726370573043,15,22278,4,Brighton,4.36748,1.88594,4.36748,0.2924142479896545,1,0,0.2924142479896545,0.2924142479896545
603768,0,0,0,0.0,10,8780,220,Sub,Joël Veltman,h,0,0,0,603757,0,0,0.0,0.1403776556253433,0.1403776556253433,17,22278,4,Brighton,4.36748,1.88594,4.36748,0.0,1,0,0.0,0.0
603771,1,0,1,0.4928614795207977,15,11710,220,Sub,Simon Adingra,h,0,0,0,603763,0,0,0.0,0.6332391500473022,0.1403776556253433,17,22278,4,Brighton,4.36748,1.88594,4.36748,0.4928614795207977,1,0,0.4928614795207977,0.4928614795207977
603769,0,0,0,0.0,1,11058,220,Sub,Julio Enciso,h,0,0,0,603764,0,0,0.0,0.0,0.0,17,22278,4,Brighton,4.36748,1.88594,4.36748,0.0,1,0,0.0,0.0
603767,1,0,2,0.8084954023361206,11,10177,220,Sub,Evan Ferguson,h,0,0,0,603766,1,0,0.0696833804249763,1.0185564756393433,0.1403776556253433,17,22278,4,Brighton,4.36748,1.88594,4.36748,0.878178782761097,1,0,0.8084954023361206,0.878178782761097
603770,0,0,1,0.0272757951170206,15,7988,220,Sub,Billy Gilmour,h,0,0,0,603761,0,0,0.0,0.8953844308853149,0.8681086301803589,17,22278,4,Brighton,4.36748,1.88594,4.36748,0.0272757951170206,1,0,0.0272757951170206,0.0272757951170206
603603,0,0,0,0.0,90,9077,92,GK,James Trafford,h,0,0,0,0,0,0,0.0,0.0639837458729744,0.0639837458729744,1,22275,5,Burnley,0.311032,2.40074,0.311032,0.0,1,0,0.0,0.0
603604,0,0,0,0.0,90,5568,92,DR,Connor Roberts,h,0,0,0,0,0,0,0.0,0.1220385655760765,0.1220385655760765,2,22275,5,Burnley,0.311032,2.40074,0.311032,0.0,1,0,0.0,0.0
603606,0,0,0,0.0,79,6557,92,DC,Louis Beyer,h,0,0,603614,0,0,0,0.0,0.0,0.0,3,22275,5,Burnley,0.311032,2.40074,0.311032,0.0,1,0,0.0,0.0
603607,0,0,0,0.0,90,8756,92,DC,Dara O&#039;Shea,h,0,0,0,0,0,0,0.0,0.1220385655760765,0.1220385655760765,3,22275,5,Burnley,0.311032,2.40074,0.311032,0.0,1,0,0.0,0.0
603605,0,0,0,0.0,90,11699,92,DC,Ameen Al Dakhil,h,0,0,0,0,0,0,0.0,0.1220385655760765,0.1220385655760765,3,22275,5,Burnley,0.311032,2.40074,0.311032,0.0,1,0,0.0,0.0
