id,goals,own_goals,shots,xG,time,player_id,understat_team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder,fixture_id,team_id,team_name,h_xg,a_xg,team_xG,xGI,gameweek,penalty_attempt,penalty_scored,npxG,npxGI
666805,0,0,0,0.0,3,9681,244,Sub,Frank Onyeka,h,0,0,0,666799,0,0,0.0,0.0,0.0,17,26609,3,Brentford,1.38064,1.14757,1.38064,0.0,1,0,0,0.0,0.0
666808,0,0,0,0.0,13,10809,244,Sub,Keane Lewis-Potter,h,0,0,0,666803,0,0,0.0,0.0,0.0,17,26609,3,Brentford,1.38064,1.14757,1.38064,0.0,1,0,0,0.0,0.0
666806,0,0,0,0.0,3,9501,244,Sub,Fabio Carvalho,h,0,0,0,666802,0,0,0.0,0.0,0.0,17,26609,3,Brentford,1.38064,1.14757,1.38064,0.0,1,0,0,0.0,0.0
666804,0,0,0,0.0,13,8859,244,Sub,Mikkel Damsgaard,h,0,0,0,666800,0,0,0.0,0.0,0.0,17,26609,3,Brentford,1.38064,1.14757,1.38064,0.0,1,0,0,0.0,0.0
666807,0,0,0,0.0,1,1654,244,Sub,Ben Mee,h,0,0,0,666801,0,0,0.0,0.0,0.0,17,26609,3,Brentford,1.38064,1.14757,1.38064,0.0,1,0,0,0.0,0.0
666339,0,0,0,0.0,90,7235,220,GK,Jason Steele,a,0,0,0,0,0,0,0.0,0.2725262939929962,0.2725262939929962,1,26605,4,Brighton,0.405325,1.79083,1.79083,0.0,1,0,0,0.0,0.0
666340,0,0,0,0.0,90,8780,220,DR,Joël Veltman,a,0,0,0,0,0,0,0.0,0.2805643677711487,0.2805643677711487,2,26605,4,Brighton,0.405325,1.79083,1.79083,0.0,1,0,0,0.0,0.0
666341,0,0,0,0.0,90,10807,220,DC,Jan Paul van Hecke,a,0,0,0,0,0,0,0.0,0.2725262939929962,0.2725262939929962,3,26605,4,Brighton,0.405325,1.79083,1.79083,0.0,1,0,0,0.0,0.0
666342,0,0,1,0.0949353128671646,80,6048,220,DC,Lewis Dunk,a,0,0,666352,0,0,0,0.0,0.0682226195931434,0.0682226195931434,3,26605,4,Brighton,0.405325,1.79083,1.79083,0.0949353128671646,1,0,0,0.0949353128671646,0.0949353128671646
666343,0,0,0,0.0,90,11269,220,DL,Jack Hinshelwood,a,0,0,0,0,0,0,0.0,0.2725262939929962,0.2725262939929962,4,26605,4,Brighton,0.405325,1.79083,1.79083,0.0,1,0,0,0.0,0.0
666345,0,0,0,0.0,86,489,220,DMC,James Milner,a,1,0,666353,0,3,0,0.2450540214776992,0.1830964684486389,0.0682226195931434,7,26605,4,Brighton,0.405325,1.79083,1.79083,0.2450540214776992,1,0,0,0.0,0.2450540214776992
666344,0,0,0,0.0,90,12758,220,DMC,Mats Wieffer,a,0,0,0,0,1,1,0.1089806854724884,1.0955357551574707,0.98655503988266,7,26605,4,Brighton,0.405325,1.79083,1.79083,0.1089806854724884,1,0,0,0.0,0.1089806854724884
666346,0,0,0,0.0,46,12759,220,AMR,Yankuba Minteh,a,0,0,666354,0,3,1,0.9331552386283876,0.9331552386283876,0.0,11,26605,4,Brighton,0.405325,1.79083,1.79083,0.9331552386283876,1,0,0,0.0,0.9331552386283876
