player_id,player,fpl_id,fpl_name,web_name,element_type,pos,now_cost,penalties_order,status,team_id
12747.0,Massimo Luongo,277,Massimo Luongo,Luongo,3,(M),4.4,,a,9
12748.0,Sam Morsy,278,Sam Morsy,Morsy,3,(M),4.8,,a,9
,,280,Cieran Slicker,Slicker,1,(G),3.9,,a,9
12754.0,Jack Taylor,281,Jack Taylor,Taylor,3,(M),4.8,,a,9
934.0,Axel Tuanzebe,282,Axel Tuanzebe,Tuanzebe,2,(D),3.9,,a,9
9251.0,Christian Walton,283,Christian Walton,Walton,1,(G),4.3,,a,9
12746.0,Luke Woolfenden,284,Luke Woolfenden,Woolfenden,2,(D),3.9,,a,9
8719.0,Kalvin Phillips,359,Kalvin Phillips,Phillips,3,(M),4.8,,a,9
7027.0,Arijanet Muric,568,Arijanet Muric,Muric,1,(G),4.4,,a,9
9415.0,Jaden Philogene-Bidace,569,Jaden Philogene,Jaden,3,(M),5.3,,a,9
8905.0,Conor Townsend,583,Conor Townsend,Townsend,2,(D),3.9,,a,9
12752.0,Sammie Szmodics,611,Sam Szmodics,Szmodics,3,(M),5.7,,i,9
10301.0,Jens Cajuste,619,Jens Cajuste,Cajuste,3,(M),4.5,,a,9
8756.0,Dara O&#039;Shea,630,Dara O'Shea,O'Shea,2,(D),3.9,,a,9
13019.0,Jack Clarke,631,Jack Clarke,J.Clarke,3,(M),5.4,,a,9
11719.0,Chiedozie Ogbene,632,Chiedozie Ogbene,Ogbene,3,(M),4.8,,i,9
,,715,Ben Godfrey,Godfrey,2,(D),4.0,,a,9
,,743,Kieran McKenna,McKenna,5,0,0.5,,a,9
1038.0,Alex Palmer,764,Alex Palmer,Palmer,1,(G),4.5,,a,9
11362.0,Facundo Buonanotte,117,Facundo Buonanotte,Buonanotte,3,(M),4.5,,a,10
672.0,Jordan Ayew,192,Jordan Ayew,J.Ayew,3,(M),5.1,,a,10
3697.0,Odsonne Edouard,198,Odsonne Edouard,Edouard,4,(F),5.1,,a,10
6310.0,Boubakary Soumare,285,Boubakary Soumaré,B.Soumaré,3,(M),4.4,,a,10
6851.0,Conor Coady,288,Conor Coady,Coady,2,(D),4.0,,a,10
9738.0,Patson Daka,289,Patson Daka,Daka,4,(F),4.8,2.0,a,10
6827.0,Bobby Reid,290,Bobby De Cordova-Reid,De Cordova-Reid,3,(M),5.2,,a,10
8646.0,Wout Faes,291,Wout Faes,Faes,2,(D),3.9,,a,10
,,292,Michael Golding,Golding,3,(M),4.4,,a,10
12910.0,Mads Hermansen,293,Mads Hermansen,Hermansen,1,(G),4.4,,a,10
,,294,Daniel Iversen,Iversen,1,(G),3.9,,a,10
7753.0,James Justin,295,James Justin,Justin,2,(D),4.1,,a,10
